frame,x0,x1,stress,sphere_res,stiefel_res,residual_ortho,health
155,-4.36816828196024964e-2,8.97323224096417960e-2,1.59307467471192510e-3,1.11022302462515654e-16,4.01952920361561153e-16,1.47522907955258825e-16,Nominal
156,-4.92668387112219427e-2,-4.20421935195283369e-1,1.37021528418773197e0,1.11022302462515654e-16,4.60035056376213090e-16,1.12743681122073347e-16,Nominal
157,1.98202080237973832e0,2.73010582382889222e-1,2.10013395744713893e-1,0.00000000000000000e0,2.52748586888626609e-16,4.13006521226366383e-16,Nominal
158,-1.88682767850522973e-2,-8.05901869508779622e-1,2.01595235832445652e-1,1.11022302462515654e-16,4.44653056906591394e-16,1.03650978739095035e-16,Nominal
159,-4.79492037095460635e-2,-5.78818120611897857e-1,3.46840630893933688e-1,3.33066907387546962e-16,3.84925670145506198e-16,3.05598264108186379e-16,Nominal
160,-4.49277355692467573e-2,-6.34794140514862049e-1,6.65471148635694565e-2,1.11022302462515654e-16,5.98269164142055793e-16,8.09950546210632688e-17,Nominal
161,-2.08264051350605904e-2,-1.73997850746022475e-1,2.52257103263855087e-1,1.11022302462515654e-16,2.23671932996843867e-16,8.09393048923371183e-17,Nominal
162,4.86348621389096764e-2,5.43857802190376161e-1,4.33158559885264971e-1,0.00000000000000000e0,3.33363237096778448e-16,2.31992918316505812e-16,Nominal
163,3.90911537796155562e-2,-8.31547122034630437e-1,5.18015106848559448e-1,0.00000000000000000e0,2.48278036406042379e-16,1.21430643318376497e-16,Nominal
164,-4.47126621674766925e-2,-4.63108214659114115e-1,8.15874952161714795e-2,1.11022302462515654e-16,3.34152727768311925e-16,1.11647347372052095e-16,Nominal
165,-3.87265729982498308e-2,-6.65936419841886895e-1,2.65342061974339738e-1,1.11022302462515654e-16,1.58598063255294486e-16,1.06144666256318932e-16,Nominal
166,-4.50612219867931874e-2,-3.57366249644493816e-1,1.54759079101996266e-1,1.11022302462515654e-16,4.15734689928416490e-16,8.12917407962131311e-17,Nominal
167,-4.87381302751310544e-2,-4.40534412436007994e-1,1.00382022584460273e-1,0.00000000000000000e0,3.34517794010075177e-16,1.71508892688619011e-16,Nominal
168,1.06655330611094001e-2,-5.04471781804941788e-1,1.40880819045732242e-2,0.00000000000000000e0,2.72155564634818467e-16,6.18691018560123488e-17,Nominal
169,2.75709800261826239e-2,7.17607643849020871e-2,8.80141144716877322e-1,1.11022302462515654e-16,3.84819382477221121e-16,1.01165765430284253e-16,Nominal
170,9.63333918066761496e-1,7.10721732855547295e-1,5.19656415669974114e-1,0.00000000000000000e0,5.08971016240804228e-16,2.74707306447143857e-16,Nominal
171,-4.25345398267903546e-2,-4.61358217943321769e-2,3.71309334283500547e-1,0.00000000000000000e0,3.34160607627073935e-16,1.27109191933888275e-16,Nominal
172,-3.22379881074674884e-2,-6.40199431892922721e-1,2.50497100186209853e-1,0.00000000000000000e0,3.15496796370875169e-16,3.51597252983233201e-16,Nominal
